imgname,sight,scale,x,y,angle1,angle2,distance,gain
bs0_ue00000.png,[0.],[0.742029],0.5868012,0.28571853,0.12454124,0.7000424,[0.29885173],[0.6308617]
bs0_ue00001.png,[1.],[0.742029],0.7006363,0.82172865,-0.16368394,0.4646346,[0.553111],[0.5245359]
bs0_ue00002.png,[0.],[0.742029],0.42811918,0.17839465,0.2969306,0.7043961,[0.30100876],[0.68298286]
bs0_ue00003.png,[0.],[0.742029],0.8131377,0.30274037,0.12454124,0.6511587,[0.5160485],[0.67341566]
bs0_ue00004.png,[1.],[0.742029],0.5563084,0.66673124,-0.16335967,0.46495885,[0.3417045],[0.50458723]
bs0_ue00005.png,[1.],[0.742029],0.7909468,0.85573757,-0.15034255,0.477976,[0.64099574],[0.53071785]
bs0_ue00006.png,[1.],[0.742029],0.2774965,0.32362226,0.40383285,1.0321515,[0.10832822],[0.45870614]
bs0_ue00007.png,[1.],[0.742029],0.44940752,0.4379553,-0.030760866,0.59755766,[0.1304768],[0.4631247]
bs0_ue00008.png,[1.],[0.742029],0.64326715,0.8841954,-0.1937199,0.43459862,[0.56585974],[0.5254787]
bs0_ue00009.png,[1.],[0.742029],0.5386338,0.8209616,-0.21584165,0.41247687,[0.45741272],[0.5152128]
bs0_ue00010.png,[1.],[0.742029],0.7886505,0.93472624,-0.1674133,0.46090522,[0.69574815],[0.53417134]
bs0_ue00011.png,[1.],[0.742029],0.2807542,0.41666135,0.620248,1.2485665,[0.04974373],[0.42968822]
bs0_ue00012.png,[1.],[0.742029],0.41135842,0.5149827,-0.16608241,0.4622361,[0.13344896],[0.46653458]
bs0_ue00013.png,[1.],[0.742029],0.5270177,0.7912409,-0.21405885,0.41425967,[0.42580053],[0.512362]
bs0_ue00014.png,[0.],[0.742029],0.8205964,0.19853197,0.14020482,0.7625603,[0.6396874],[0.812408]
bs0_ue00015.png,[1.],[0.742029],0.27861837,0.14188354,0.34604412,0.9743627,[0.28125012],[0.49665493]
bs0_ue00016.png,[1.],[0.742029],0.2997445,0.11231805,0.32937548,0.95769405,[0.30804646],[0.50032324]
bs0_ue00017.png,[1.],[0.742029],0.59287006,0.63225234,-0.13406172,0.49425682,[0.3452766],[0.5050116]
bs0_ue00018.png,[0.],[0.742029],0.71992606,0.27536333,0.12454124,0.67586064,[0.42903632],[0.65434945]
bs0_ue00019.png,[0.],[0.742029],0.35924655,0.18573831,0.2969306,0.82448405,[0.24042477],[0.6329635]
bs0_ue00020.png,[0.],[0.742029],0.8101235,0.3224226,0.12454124,0.6412874,[0.5112914],[0.6763108]
bs0_ue00021.png,[1.],[0.742029],0.5621256,0.82260364,-0.20734942,0.4209691,[0.47035187],[0.5174501]
bs0_ue00022.png,[1.],[0.742029],0.43429413,0.31305167,0.15163021,0.7799488,[0.15537803],[0.4717747]
bs0_ue00023.png,[1.],[0.742029],0.54002446,0.7796181,-0.20599344,0.42232507,[0.42219436],[0.51094526]
bs0_ue00024.png,[1.],[0.742029],0.78990346,0.9923893,-0.17760396,0.4507146,[0.7403433],[0.53676885]
bs0_ue00025.png,[1.],[0.742029],0.26504248,0.27086246,0.38912278,1.0174413,[0.16064462],[0.47359803]
bs0_ue00026.png,[1.],[0.742029],0.5322539,0.5090155,-0.08178235,0.5465362,[0.22946298],[0.48838478]
bs0_ue00027.png,[1.],[0.742029],0.35362434,0.58623534,-0.27815503,0.3501635,[0.17260532],[0.47716072]
bs0_ue00028.png,[1.],[0.742029],0.81750035,0.8492232,-0.14335987,0.48495865,[0.6563323],[0.53170973]
bs0_ue00029.png,[0.],[0.742029],0.65790373,0.3262929,0.12454124,0.646346,[0.35949847],[0.6625611]
bs0_ue00030.png,[1.],[0.742029],0.7918428,0.7156599,-0.11303661,0.5152819,[0.5557029],[0.52470285]
bs0_ue00031.png,[1.],[0.742029],0.6988369,0.9376889,-0.18888545,0.4394331,[0.64153737],[0.5307209]
bs0_ue00032.png,[1.],[0.742029],0.5402533,0.9111519,-0.23113723,0.3971813,[0.5391486],[0.52205503]
bs0_ue00033.png,[0.],[0.742029],0.63633674,0.29601914,0.12454124,0.6755061,[0.34313312],[0.6496814]
bs0_ue00034.png,[0.],[0.742029],0.38306123,0.16847306,0.2969306,0.79128516,[0.26871738],[0.66426367]
bs0_ue00035.png,[1.],[0.742029],0.35314617,0.6064503,-0.28245,0.34586853,[0.19224738],[0.4814439]
bs0_ue00036.png,[1.],[0.742029],0.6214308,0.69966346,-0.15119396,0.47712454,[0.41088092],[0.5121719]
bs0_ue00037.png,[0.],[0.742029],0.5398727,0.3150238,0.12454124,0.68214136,[0.24536434],[0.602283]
bs0_ue00038.png,[0.],[0.742029],0.68364096,0.186701,0.17300299,0.79014295,[0.5334271],[0.7415638]
bs0_ue00039.png,[1.],[0.742029],0.22457433,0.6633677,-0.39061278,0.23770575,[0.2653425],[0.49430424]
bs0_ue00040.png,[1.],[0.742029],0.6336783,0.6180833,-0.11428539,0.51403314,[0.3701902],[0.5078627]
bs0_ue00041.png,[1.],[0.742029],0.2905534,0.15139712,0.33840254,0.96672106,[0.27020857],[0.49503362]
bs0_ue00042.png,[1.],[0.742029],0.77640414,0.8733027,-0.15743259,0.47088593,[0.64276916],[0.53083575]
bs0_ue00043.png,[0.],[0.742029],0.45387688,0.97447336,-0.023316747,0.32580176,[0.64569896],[0.5795273]
bs0_ue00044.png,[0.],[0.742029],0.5623786,0.33537441,0.12454124,0.645715,[0.26388916],[0.6480043]
bs0_ue00045.png,[1.],[0.742029],0.26713553,0.6102304,-0.3708984,0.25742015,[0.20154424],[0.4822334]
bs0_ue00046.png,[1.],[0.742029],0.5408423,0.63158697,-0.1549678,0.4733507,[0.3058838],[0.5000671]
bs0_ue00047.png,[1.],[0.742029],0.7782694,0.8436328,-0.15028301,0.47803554,[0.6234834],[0.5295539]
bs0_ue00048.png,[1.],[0.742029],0.44726482,0.550111,-0.16297826,0.4653403,[0.18291937],[0.47800854]
bs0_ue00049.png,[0.],[0.742029],0.45019466,0.9394145,-0.023316747,0.32516032,[0.6105183],[0.5798973]
bs0_ue00050.png,[1.],[0.742029],0.4215216,0.35330644,0.11679959,0.74511814,[0.12085392],[0.46040028]
bs0_ue00051.png,[0.],[0.742029],0.79453605,0.2373176,0.14020482,0.7548235,[0.5954718],[0.81334853]
bs0_ue00052.png,[1.],[0.742029],0.50499195,0.27856934,0.13104518,0.7593637,[0.2309086],[0.48814216]
bs0_ue00053.png,[1.],[0.742029],0.29031888,0.44330466,-0.49818763,0.1301309,[0.04873585],[0.42889214]
bs0_ue00054.png,[1.],[0.742029],0.540127,0.9418244,-0.23554417,0.39277434,[0.5672714],[0.5241486]
bs0_ue00055.png,[1.],[0.742029],0.71251214,0.674963,-0.11651856,0.51179993,[0.46709988],[0.5174708]
bs0_ue00056.png,[0.],[0.742029],0.45820934,0.2471836,0.17300299,0.8836765,[0.22119628],[0.60546535]
bs0_ue00057.png,[1.],[0.742029],0.541828,0.7973716,-0.20946446,0.4188541,[0.43837872],[0.5115908]
bs0_ue00058.png,[0.],[0.742029],0.65282536,0.32741028,0.12454124,0.64578104,[0.35435483],[0.6622596]
bs0_ue00059.png,[1.],[0.742029],0.63096124,0.8507693,-0.19040667,0.43791184,[0.5314546],[0.5228615]
bs0_ue00060.png,[1.],[0.742029],0.28687444,0.36157975,0.42765695,1.0559754,[0.07222253],[0.44367337]
bs0_ue00061.png,[1.],[0.742029],0.82681066,0.6921051,-0.09955384,0.52876467,[0.57390046],[0.5260157]
bs0_ue00062.png,[1.],[0.742029],0.24067551,0.441205,-0.57424986,0.054068647,[0.08939534],[0.45163357]
bs0_ue00063.png,[1.],[0.742029],0.32454482,0.67554647,-0.31301567,0.31530285,[0.2585003],[0.49324876]
bs0_ue00064.png,[1.],[0.742029],0.3952277,0.7081107,-0.26534662,0.3629719,[0.29972702],[0.4992454]
bs0_ue00065.png,[0.],[0.742029],0.81517607,0.33223346,0.12454124,0.63614976,[0.5158217],[0.6781722]
bs0_ue00066.png,[1.],[0.742029],0.40952608,0.39093548,0.061457455,0.689776,[0.0943774],[0.4514736]
bs0_ue00067.png,[0.],[0.742029],0.6263627,0.3089364,0.12454124,0.6656878,[0.33070445],[0.6528115]
bs0_ue00068.png,[0.],[0.742029],0.69105905,0.5474985,-0.077711284,0.59495276,[0.39255878],[0.6374578]
bs0_ue00069.png,[1.],[0.742029],0.33360922,0.5099811,-0.2912606,0.33705795,[0.09583376],[0.45468295]
bs0_ue00070.png,[1.],[0.742029],0.6884508,0.82128346,-0.16684343,0.46147507,[0.5445363],[0.5238826]
bs0_ue00071.png,[1.],[0.742029],0.37481943,0.6839233,-0.27567002,0.35264853,[0.2718026],[0.49316034]
bs0_ue00072.png,[1.],[0.742029],0.7269196,0.7611927,-0.14077057,0.48754796,[0.5303762],[0.5227766]
bs0_ue00073.png,[1.],[0.742029],0.56587744,0.87531674,-0.21647534,0.4118432,[0.51810634],[0.51891]
bs0_ue00074.png,[1.],[0.742029],0.41342735,0.6545471,-0.241082,0.38723654,[0.25421217],[0.49178463]
bs0_ue00075.png,[1.],[0.742029],0.25128257,0.51938516,-0.43773383,0.1905847,[0.12664375],[0.46496773]
bs0_ue00076.png,[1.],[0.742029],0.5497244,0.9967753,-0.2394665,0.38885203,[0.6217745],[0.5279195]
bs0_ue00077.png,[0.],[0.742029],0.6881317,0.21781841,0.12454124,0.7189677,[0.41856694],[0.62656343]
bs0_ue00078.png,[1.],[0.742029],0.78102684,0.946119,-0.17121781,0.45710072,[0.69922817],[0.534382]
bs0_ue00079.png,[1.],[0.742029],0.6593894,0.9074036,-0.19367279,0.43464574,[0.5940894],[0.5275014]
bs0_ue00080.png,[0.],[0.742029],0.4432536,0.8617766,-0.023316747,0.32392874,[0.5327059],[0.5776147]
bs0_ue00081.png,[1.],[0.742029],0.7427039,0.9979952,-0.18883309,0.43948546,[0.7160551],[0.53538734]
bs0_ue00082.png,[1.],[0.742029],0.23034663,0.60118914,-0.40803903,0.22027948,[0.20664409],[0.48336494]
bs0_ue00083.png,[1.],[0.742029],0.47590807,0.90173316,-0.25291097,0.37540758,[0.5076206],[0.5195984]
bs0_ue00084.png,[1.],[0.742029],0.6423269,0.7257959,-0.15330568,0.47501287,[0.44397458],[0.5153789]
bs0_ue00085.png,[0.],[0.742029],0.8002095,0.3263413,0.12454124,0.6395639,[0.5011719],[0.67612505]
bs0_ue00086.png,[1.],[0.742029],0.30308154,0.43337828,-0.4995306,0.1287879,[0.03613152],[0.41723335]
bs0_ue00087.png,[0.],[0.742029],0.6265338,0.25650457,0.12454124,0.71200556,[0.34655386],[0.6289328]
bs0_ue00088.png,[1.],[0.742029],0.46457332,0.70206237,-0.22162564,0.4066929,[0.3180941],[0.50069445]
bs0_ue00089.png,[0.],[0.742029],0.7908158,0.33721367,0.12454124,0.63397175,[0.49133998],[0.6771292]
